Name,Organization,Location
Raz Ben-Netanel,(Ben-Gurion University of the Negev),
Adi Shamir,(Weizmann Institute of Science),
Yuval Elovici,(Ben-Gurion University of the Negev),
Meng Xu,(Georgia Institute of Technology),
Manuel Huber,(Fraunhofer AISEC),
Zhichuang Sun,(Northeastern University),
Paul England,(Microsoft Research),
Marcus Peinado,(Microsoft Research),
Sangho Lee,(Microsoft Research),
Andrey Marochko,(Microsoft Research),
Dennis Mattoon,(Microsoft Research),
Rob Spiger,(Microsoft),
Stefan Thom,(Microsoft),
Daniel Fett,(YES.com AG),
Pedram Hosseyni,(University of Stuttgart),
Ralf Kuesters,(University of Stuttgart),
Steven H. H. Ding,(McGill University),
Benjamin C. M. Fung,(McGill University),
Philippe Charland,"(Defence R&amp;D Canada - Valcartier, Canada)",
Mengjia Yan,(University of Illinois at Urbana Champaign),
Read Sprabery,(University of Illinois at Urbana Champaign),
Bhargava Gopireddy,(University of Illinois at Urbana Champaign),
Christopher Fletcher,(University of Illinois at Urbana Champaign),
Roy Campbell,(University of Illinois at Urbana Champaign),
Josep Torrellas,(University of Illinois at Urbana Champaign),
Bijeeta Pal,(Cornell University),
Tal Daniel,(Technion),
Rahul Chatterjee,(Cornell University),
Thomas Ristenpart,(Cornell Tech),
Yujin Kwon,(KAIST),
Hyoungshick Kim,(Sungkyunkwan University),
Jinwoo Shin,(KAIST),
Yongdae Kim,(KAIST),
Liang Wang,(UW Madison),
Gilad Asharov,(Cornell Tech),
Rafael Pass,(Cornell Tech),
Thomas Ristenpart,(Cornell Tech),
Abhi Shelat,(Northeastern University),
David Rupprecht,(Ruhr-University Bochum),
Katharina Kohls,(Ruhr-University Bochum),
Thorsten Holz,(Ruhr-University Bochum),
Christina Pöpper,(New York University Abu Dhabi),
Robert Brotzman,(Pennsylvania State University),
Shen Liu,(Pennsylvania State University),
Danfeng Zhang,(Pennsylvania State University),
Gang Tan,(Pennsylvania State University),
Mahmut Kandemir,(Pennsylvania State University),
Mathias Lecuyer,(Columbia University),
Vaggelis Atlidakis,(Columbia University),
Roxana Geambasu,(Columbia University),
Daniel Hsu,(Columbia University),
Suman Jana,(Columbia University),
Hang Hu,(Virginia Tech),
Peng Peng,(Virginia Tech),
Gang Wang,(Virginia Tech),
Milad Nasr,(University of Massachusetts Amherst),
Reza Shokri ,,
Amir Houmansadr,(University of Massachusetts Amherst),
Nan Zhang,"(Indiana University, Bloomington)",
Xianghang Mi,"(Indiana University, Bloomington)",
Xuan Feng,"(Indiana University, Bloomington; Beijing Key Laboratory of IOT Information Security Technology, Institute of Information Engineering, CAS, China)",
XiaoFeng Wang,"(Indiana University, Bloomington)",
Yuan Tian,(University of Virginia),
Feng Qian,"(Indiana University, Bloomington)",
Evgenios Kornaropoulos,(Brown University),
Charalampos Papamanthou,(University of Maryland),
Roberto Tamassia,(Brown University),
Xiang Ling,(Zhejiang University),
Shouling Ji,(Zhejiang University),
Jiaxu Zou,(Zhejiang University),
Jiannan Wang,(Zhejiang University),
Chunming Wu,(Zhejiang University),
Bo Li,(UC Berkeley),
Ting Wang,(Lehigh University),
Yi Chen,"(Indiana University Bloomington, University of Chinese Academy of Sciences)",
Mingming Zha,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Nan Zhang,(Indiana University Bloomington),
Dandan Xu,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Qianqian Zhao,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Xuan Feng,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Kan Yuan,(Indiana University Bloomington),
Fnu Suya,(The University of Virginia),
Yuan Tian,(The University of Virginia),
Kai Chen,"(Institute of Information Engineering, Chinese Academy of Sciences)",
XiaoFeng Wang,(Indiana University Bloomington),
Wei Zou,"(Institute of Information Engineering, Chinese Academy of Sciences)",
Lei Yu,(Georgia Institute of Technology),
Ling Liu,(Georgia Institute of Technology),
Calton Pu,(Georgia Institute of Technology),
Mehmet Emre Gursoy,(Georgia Institute of Technology),
Stacey Truex,(Georgia Institute of Technology),
Emily Stark,(Google),
Ryan Sleevi,(Google),
Rijad Muminovic,(University of Sarajevo),
Devon O'Brien,(Google),
Eran Messeri,(Google),
Adrienne Porter Felt,(Google),
Brendan McMillion,(Cloudflare),
Parisa Tabriz,(Google),
Meng Xu,(Georgia Institute of Technology),
Manuel Huber,(Fraunhofer AISEC),
Zhichuang Sun,(Northeastern University),
Paul England,(Microsoft Research),
Marcus Peinado,(Microsoft Research),
Sangho Lee,(Microsoft Research),
Andrey Marochko,(Microsoft Research),
Dennis Mattoon,(Microsoft Research),
Rob Spiger,(Microsoft),
Stefan Thom,(Microsoft),
Ben Nassi,(Ben-Gurion University of the Negev),
Raz Ben-Netanel,(Ben-Gurion University of the Negev),
Adi Shamir,(Weizmann Institute of Science),
Yuval Elovici,(Ben-Gurion University of the Negev),
Dolière Francis Somé,"(Université Côte d'Azur/Inria, France)",
Lucian Cojocar,(Vrije Universiteit Amsterdam),
Kaveh Razavi,(Vrije Universiteit Amsterdam),
Cristiano Giuffrida,(Vrije Universiteit Amsterdam),
Herbert Bos,(Vrije Universiteit Amsterdam),
Luca Melis,(University College London),
Congzheng Song,(Cornell University),
Emiliano De Cristofaro,(University College London),
Vitaly Shmatikov,(Cornell Tech),
Giovanni Cherubin,(Royal Holloway University of London),
Kostas Chatzikokolakis,"(LIX, École Polytechnique)",
Catuscia Palamidessi,"(INRIA, École Polytechnique)",
Saba Eskandarian,(Stanford University),
Jonathan Cogan,(Stanford University),
Sawyer Birnbaum,(Stanford University),
Peh Chang Wei Brandon,(Stanford University),
Dillon Franke,(Stanford University),
Forest Fraser,(Stanford University),
Gaspar Garcia,(Stanford University),
Eric Gong,(Stanford University),
Hung T. Nguyen,(Stanford University),
Taresh K. Sethi,(Stanford University),
Vishal Subbiah,(Stanford University),
Michael Backes,(CISPA Helmholtz Center for Information Security),
Giancarlo Pellegrino,(Stanford University/CISPA Helmholtz Center for Information Security),
Dan Boneh,(Stanford University),
Jonathan Protzenko,(Microsoft Research),
Benjamin Beurdouche,(Inria),
Denis Merigoux,(Inria),
Karthikeyan Bhargavan,(Inria),
Stefan Nagy,(Virginia Tech),
Matthew Hicks,(Virginia Tech),
Wen Xu,(Georgia Institute of Technology),
Hyungon Moon,"(Ulsan National Institute of Science, Technology)",
Sanidhya Kashyap,(Georgia Institute of Technology),
Po-Ning Tseng,(Georgia Institute of Technology),
Taesoo Kim,(Georgia Institute of Technology),
Sadegh M. Milajerdi,(University of Illinois at Chicago),
Rigel Gjomemo,(University of Illinois at Chicago),
Birhanu Eshete,(University of Illinois at Chicago),
R. Sekar,(Stony Brook University),
Venkat Venkatakrishnan,(University of Illinois at Chicago),
Andrew Kwong,(University of Michigan),
Wenyuan Xu,(Zhejiang University),
Kevin Fu,(University of Michigan),
Wenting Zheng,(UC Berkeley),
Raluca Ada Popa,(UC Berkeley),
Joseph E. Gonzalez,(UC Berkeley),
Ion Stoica,(UC Berkeley),
Elissa M. Redmiles,(University of Maryland),
Sean Kross,(University of California San Diego),
Michelle L. Mazurek,(University of Maryland),
Katharina Krombholz,(CISPA Helmholtz Center for Information Security),
Karoline Busse,(Bonn University),
Katharina Pfeffer,(SBA Research),
Matthew Smith,(Bonn University / FhG FKIE),
Emanuel von Zezschwitz,(Bonn University / FhG FKIE),
Subarno Banerjee,(University of Michigan),
David Devecsery,(Georgia Institute of Technology),
Peter M. Chen,(University of Michigan),
Satish Narayanasamy,(University of Michigan),
Pern Hui Chia,(Google),
Damien Desfontaines,(ETH Zurich / Google),
Irippuge Milinda Perera,(Google),
Daniel Simmons-Marengo,(Google),
Chao Li,(Google),
Wei-Yen Day,(Google),
Qiushi Wang,(Google),
Miguel Guevara,(Google),
Nolen Scaife,(University of Florida),
Jasmine Bowers,(University of Florida),
Christian Peeters,(University of Florida),
Grant Hernandez,(University of Florida),
Imani N. Sherman,(University of Florida),
Patrick Traynor,(University of Florida),
Lisa Anthony,(University of Florida),
Dave Tian,(University of Florida),
Grant Hernandez,(University of Florida),
Joseph Choi,(University of Florida),
Vanessa Frost,(University of Florida),
Peter Johnson,(Middlebury College),
Kevin Butler,(University of Florida),
Ren Zhang,"(Nervos, imec-COSIC, KU Leuven)",
Bart Preneel,"(imec-COSIC, KU Leuven)",
Paul Grubbs,(Cornell University),
Marie-Sarah Lacharité,"(Royal Holloway, University of London)",
Brice Minaud,"(Ecole Normale Supérieure, CNRS, PSL University, Inria)",
Kenneth G. Paterson,"(Royal Holloway, University of London)",
Matthew Joslin,(University of Texas at Dallas),
Neng Li,(Shanghai Jiao Tong University),
Shuang Hao,(University of Texas at Dallas),
Minhui Xue,(Macquarie University),
Haojin Zhu,(Shanghai Jiao Tong University),
