Name,Organization,Location,Gender,Race
Si Liu,(University of Illinois at Urbana-Champaign),,male,A
Carl Gunter,(University of Illinois at Urbana-Champaign),,male,W_NL
Adam Bates,(University of Illinois at Urbana-Champaign),,male,W_NL
Dominik Harz,(Imperial College London),,male,W_NL
Lewis Gudgeon,(Imperial College London),,male,W_NL
Arthur Gervais,(Imperial College London),,male,W_NL
William J. Knottenbelt,(Imperial College London),,male,W_NL
Muhammad Ishaq,(University of Edinburgh),,male,A
Ana Milanova,(Rensselaer Polytechnic Institute),,female,HL
Vassilis Zikas,(University of Edinburgh),,male,W_NL
Yu-Fu Fu,(Academia Sinica),,female,A
Jiaxiang Liu,(Academia Sinica & Shenzhen University),,male,A
Xiaomu Shi,(Academia Sinica & Shenzhen University),,female,A
Ming-Hsien Tsai,(Academia Sinica),,male,A
Bow-Yaw Wang,(Academia Sinica),,male,A
Bo-Yin Yang,(Academia Sinica),,female,A
Melissa Chase,(Microsoft Research),,female,W_NL
Apoorvaa Deshpande,(Brown University),,male,A
Esha Ghosh,(Microsoft Research),,female,A
Harjasleen Malvai,(Cornell University),,male,A
Simon Birnbach,(University of Oxford),,male,W_NL
Simon Eberz,(University of Oxford),,male,A
Ivan Martinovic,(University of Oxford),,male,HL
Ting Chen,(University of Electronic Science and Technology of China),,female,A
Yufei Zhang,(University of Electronic Science and Technology of China),,female,A
Zihao Li,(University of Electronic Science and Technology of China),,male,A
Xiapu Luo,(The Hong Kong Polytechnic University),,female,A
Ting Wang,(Lehigh University),,female,A
Rong Cao,(University of Electronic Science and Technology of China),,male,A
Xiuzhuo Xiao,(University of Electronic Science and Technology of China),,female,A
Xiaosong Zhang,(University of Electronic Science and Technology of China),,male,A
Jun Furukawa,(NEC Israel Research Center),,female,A
Yehuda Lindell,(Bar-Ilan University and Unbound Tech),,male,W_NL
José Bacelar Almeida,(Universidade do Minho & INESC-TEC),,male,HL
Cécile Baritel-Ruet,(Université Côte d’Azur & Inria Sophia-Antipolis),,female,B_NL
Manuel Barbosa,(Universidade do Porto & INESC-TEC),,male,HL
Gilles Barthe,(MPI-SP & IMDEA Software Institute),,male,B_NL
François Dupressoir,(University of Surrey & University of Bristol),,male,B_NL
Benjamin Grégoire,(Inria Sophia-Antipolis),,male,B_NL
Vincent Laporte,(Inria),,male,W_NL
Tiago Oliveira,(Universidade do Porto & INESC-TEC & FCUP),,male,HL
Alley Stoughton,(Boston University),,female,W_NL
Pierre-Yves Strub,(École Polytechnique),,male,W_NL
Jianting Ning,(Fujian Normal University & National University of Singapore),,male,A
Geong Sen Poh,(Trustwave & NUS-Singtel Cyber Security Lab),,male,A
Jia-Ch’ng Loh,(NUS-Singtel Cyber Security Lab),,female,A
Jason Chia,(NUS-Singtel Cyber Security Lab),,male,A
Ee-Chien Chang,(National University of Singapore),,female,A
Chaoshun Zuo,(Ohio State University),,male,A
Haohuang Wen,(Ohio State University),,female,A
Zhiqiang Lin,(Ohio State University),,male,A
Yinqian Zhang,(Ohio State University),,male,A
Megha Byali,"(Indian Institute of Science, Bangalore)",,female,A
Carmit Hazay,"(Bar-Ilan University, Israel)",,female,W_NL
Arpita Patra,"(Indian Institute of Science, Bangalore)",,female,A
Swati Singla,"(Indian Institute of Science, Bangalore)",,female,A
Armaiti Ardeshiricham,(UCSD),,female,A
Yoshiki Takashima,(UCSD),,female,A
Sicun Gao,(UCSD),,male,A
Ryan Kastner,(UCSD),,male,W_NL
Johannes Blömer,(Paderborn University),,male,W_NL
Jan Bobolz,(Paderborn University),,male,W_NL
Denis Diemert,(Paderborn University),,male,W_NL
Fabian Eidens,(Paderborn University),,male,HL
Sean Heelan,(University of Oxford),,male,W_NL
Daniel Kroening,(University of Oxford),,male,W_NL
Tom Melham,(University of Oxford),,male,A
Shijun Zhao,(Institute of Software Chinese Academy of Sciences),,male,A
Qianying Zhang,(Capital Normal University Information Engineering Colleg),,female,A
Qin Yu,(Institute of Software Chinese Academy of Sciences),,female,A
Wei Feng,(Institute of Software Chinese Academy of Sciences),,male,A
Dengguo Feng,(Institute of Software Chinese Academy of Sciences),,male,A
Samuel Steffen,(ETH Zürich),,male,W_NL
Benjamin Bichsel,(ETH Zürich),,male,W_NL
Mario Gersbach,(ETH Zürich),,male,HL
Noa Melchior,(ETH Zürich),,female,W_NL
Petar Tsankov,(ETH Zürich),,male,A
Martin Vechev,(ETH Zürich),,male,W_NL
Kangjie Lu,(University of Minnesota),,male,A
Hong Hu,(GeorgiaTech),,male,A
Aurore Fass,(CISPA Helmholtz Center for Information Security),,female,W_NL
Michael Backes,(CISPA Helmholtz Center for Information Security),,male,W_NL
Ben Stock,(CISPA Helmholtz Center for Information Security),,male,W_NL
Yueqi Chen,(Pennsylvania State University),,female,A
Xinyu Xing,(Pennsylvania State University),,female,A
Jo Van Bulck,"(imec-DistriNet, KU Leuven, Belgium)",,male,A
David Oswald,"(School of Computer Science, University of Birmingham, UK)",,male,W_NL
Eduard Marin,"(School of Computer Science, University of Birmingham, UK)",,male,HL
Abdulla Aldoseri,"(School of Computer Science, University of Birmingham, UK)",,male,A
Flavio D. Garcia,"(School of Computer Science, University of Birmingham, UK)",,male,HL
