Name,Organization,Location,Gender,Race
Lujo Bauer,(CMU),,male,W_NL
Manuel Costa,(MSR Cambridge),,male,HL
Marieke Huisman,(University of Twente),,female,W_NL
Martin Johns,(SAP Research),,male,W_NL
Matteo Maffei,(TU Vienna),,male,HL
Matthew Green,(Johns Hopkins University),,male,W_NL
Michael Backes,(CISPA),Saarland University & MPI-SWS,male,W_NL
Michalis Polychronakis,(Stony Brook University),,male,W_NL
Mike Just,(Heriot-Watt University),,male,W_NL
Nikhil Swamy,(MSR Redmond),,male,A
Ralf Sasse,(ETH),,male,W_NL
Robert Watson,(University of Cambridge),,male,W_NL
Roberto Guanciale,(KTH),,male,HL
Sadia Afroz,(UC Berkeley / ICSI),,female,A
Sandrine Blazy,(INRIA Rennes),,female,W_NL
Sascha Fahl,(University of Hannover),,female,W_NL
Seda Guerses,(KU Leuven),,female,HL
Stefan Katzenbeisser,(TU Darmstadt),,male,W_NL
Stefano Calzavara,(Universita' Ca' Foscari Venezia),,male,HL
Steve Kremer,(INRIA Nancy - Grand Est),,male,W_NL
Tamara Rezk,(INRIA Sophia-Antipolis),,female,W_NL
Virgil Gligor,(CMU),,male,W_NL
Wenke Lee,(Georgia Tech),,female,A
Yasemin Acar,(University of Hannover),,male,A
Yongdae Kim,(KAIST),,female,A
Frank Piessens,(KU Leuven),,male,W_NL
Matthew Smith,(University of Bonn),,male,W_NL
George Danezis,(University College London),,male,W_NL
Emiliano De Cristofaro,(University College London),,male,HL
Sascha Fahl,(Leibniz University Hannover),,female,W_NL
Charles Weir,(Lancaster University),,male,W_NL
Ben Stock,(Saarland University),,male,W_NL
Ruba Abu-Salma,(University College London),,female,A
Nadim Kobeissi,(Inria Paris),,male,A
Guillermo Suarez-Tangil,(University College London),,male,HL
